2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
151-200;101-150;Osaka University;Japan;59,2;65,6;78,2;70,8;
151-200;201-230;Quaid-i-Azam University;Pakistan;55,7;55,5;78,2;77,1;
151-200;201-230;Renmin (People's) University of China;China (Mainland);60,2;60,9;75,3;68,7;
151-200;101-150;Rice University;United States;59,7;70,9;75,3;69,8;
151-200;151-200;Stockholm University;Sweden;57,1;50,2;86,6;79,4;
151-200;151-200;Sun Yat-sen University;China (Mainland);56,8;58,6;81,4;74,6;
151-200;151-200;Sungkyunkwan University(SKKU);South Korea;67;69,4;63,8;64;
151-200;151-200;Tel Aviv University;Israel;54,8;52,3;86,5;80,1;
151-200;151-200;The University of Adelaide;Australia;57,7;66,7;79,3;71,8;
151-200;101-150;The University of Sheffield;United Kingdom;56;57;86,3;76,3;
151-200;151-200;TU Dortmund University;Germany;63,8;51,7;71,4;67,6;
151-200;101-150;Universidad Carlos III de Madrid (UC3M);Spain;59,2;66,7;80;69,8;
151-200;201-230;Universidad de Sevilla;Spain;58,4;51,7;77,7;72,7;
151-200;151-200;Universidade Federal de Minas Gerais      ;Brazil;60;57;73,9;71,8;
151-200;151-200;Universitat Autònoma de Barcelona;Spain;56,1;59,7;81,6;69,8;
151-200;151-200;Universitat de Barcelona;Spain;60,7;66;77,2;69,8;
151-200;151-200;Universitat Politècnica de València;Spain;60,4;60,4;77,5;75,4;
151-200;201-230;Université de Montpellier;France;52,2;43,1;92,9;84,1;
151-200;151-200;Université Laval;Canada;55,8;57,4;91,5;75,4;
151-200;151-200;Université Paul Sabatier Toulouse III;France;58,2;38,1;77,6;77,1;
151-200;151-200;Universiti Malaya (UM);Malaysia;61,9;66,3;74;69,8;
151-200;151-200;Universiti Sains Malaysia (USM);Malaysia;62,6;60,3;71,4;76,3;
151-200;151-200;University of Alberta;Canada;53,9;65,7;81,4;74,6;
151-200;151-200;University of Birmingham;United Kingdom;50,4;66,5;86,3;83,5;
151-200;101-150;University of Geneva;Switzerland;56,3;57,3;89,5;78,6;
151-200;201-230;University of Granada;Spain;57,8;56,2;76,7;71,8;
151-200;151-200;University of Kent;United Kingdom;57,2;53,1;87,9;78,6;
151-200;151-200;University of Liverpool;United Kingdom;56,2;63,8;80,4;70,8;
151-200;151-200;University of Pisa;Italy;62,3;59,7;77,2;70,8;
151-200;151-200;University of Pittsburgh;United States;54;63,2;85,5;77,9;
151-200;151-200;University of Strathclyde;United Kingdom;58,7;56,7;82;73,7;
151-200;201-230;University of Tehran;Iran, Islamic Republic of;58;44,2;84,7;85,3;
151-200;151-200;University of Texas Dallas;United States;53,8;63,5;86;75,4;
151-200;151-200;University of Virginia;United States;54,8;64;79,8;75,4;
151-200;101-150;University of Wollongong;Australia;56,3;67,5;79,4;70,8;
151-200;151-200;Uppsala University;Sweden;59,1;58,6;74;74,6;
151-200;151-200;Western University;Canada;57,5;70,9;75,6;71,8;
151-200;201-230;Wuhan University;China (Mainland);55,1;59;79,9;77,9;
151-200;151-200;Xi’an Jiaotong University;China (Mainland);56,8;60,8;82,8;81,5;
201-240;201-230;Beijing Jiaotong University;China (Mainland);52,8;53,6;80,4;77,9;
201-240;201-230;Beijing Normal University ;China (Mainland);56,9;46;77;69,8;
201-240;151-200;Bo_aziçi University;Turkey;60,9;66,8;64,6;56,6;
