2023;2022;Institution;Location;Academic;Employer;Citations;H;Score
101-150;101-150;University of Wisconsin-Madison;United States;65,1;64,3;81,7;81,9;
101-150;101-150;Waseda University;Japan;66,4;74,7;66,2;62,8;
101-150;101-150;Western University;Canada;63,6;67,6;80,1;76,5;
101-150;101-150;WHU Otto Beisheim School of Management - Koblenz;Germany;67,8;56,8;75,6;81,9;
101-150;95=;WU (Vienna University of Economics and Business);Austria;70,5;59;80,2;78,4;
101-150;101-150;York University;Canada;66,3;61,6;84,5;85,7;
151-200;101-150;Aalto University;Finland;67,7;54,5;70,5;73,4;
151-200;151-200;American University of Beirut (AUB);Lebanon;61,3;74,9;62,1;59,5;
151-200;201-250;American University of Sharjah;United Arab Emirates;57,8;70,4;67,2;71,1;
151-200;201-250;Aston University;United Kingdom;61,6;56,7;73,8;81,9;
151-200;151-200;Athens University of Economics and Business;Greece;60;63,8;72,3;79,3;
151-200;151-200;BI Norwegian Business School;Norway;69,8;51,3;76,5;77,5;
151-200;151-200;Curtin University;Australia;60,3;60,7;76,8;84,2;
151-200;201-250;EMLYON Business School;France;60,4;63,3;70,8;72,2;
151-200;201-250;Emory University;United States;62,5;55,2;77,9;77,5;
151-200;151-200;ESCP Europe;France;64,2;70,2;52,4;55,7;
151-200;151-200;Essex, University of;United Kingdom;66,5;47,9;82,3;89;
151-200;151-200;Fundação Getulio Vargas;Brazil;65,8;65,2;61,8;65,9;
151-200;201-250;Gadjah Mada University;Indonesia;67,2;70,7;44,9;39,6;
151-200;151-200;George Washington University;United States;59,5;61,1;78,1;75,5;
151-200;151-200;Georgia Institute of Technology;United States;57,5;72,5;69,8;73,4;
151-200;;Instituto Tecnológico Autónomo de México (ITAM);Mexico;64,3;72,7;48,8;46;
151-200;101-150;Keio University;Japan;63,6;73,3;60,7;53,5;
151-200;201-250;Lahore University of Management Sciences (LUMS);Pakistan;61,2;71,8;74,1;62,8;
151-200;101-150;Maastricht University ;Netherlands;63,5;60,9;74,4;74,4;
151-200;151-200;National Cheng Kung University (NCKU);Taiwan;63,3;65,8;57,9;65,9;
151-200;151-200;National Chengchi University;Taiwan;64,3;59,4;70,3;73,4;
151-200;151-200;Newcastle University;United Kingdom;55,9;70,3;75,6;79,3;
151-200;151-200;Osaka University;Japan;61,8;69,8;55,1;59,5;
151-200;201-250;Pontificia Universidad Javeriana;Colombia;62,7;73,3;45,1;53,5;
151-200;201-250;Qatar University;Qatar;57,8;65,9;72,3;77,5;
151-200;101-150;Queensland University of Technology (QUT);Australia;61,3;60,6;78,6;82,7;
151-200;151-200;Rice University;United States;63,7;55,2;75,4;75,5;
151-200;151-200;Shanghai University of Finance and Economics;China (Mainland);69,2;44,9;76,9;81;
151-200;151-200;Stockholm University;Sweden;63,4;57,2;70;72,2;
151-200;251-300;Sun Yat-sen University;China (Mainland);59,5;64,5;77,7;79,3;
151-200;101-150;Technical University of Munich;Germany;61,2;74,3;63,1;65,9;
151-200;151-200;The University of Georgia;United States;59,4;57,1;86,6;88,4;
151-200;151-200;Universitat Autònoma de Barcelona;Spain;57,6;65,7;83,2;81;
151-200;151-200;Universiti Putra Malaysia (UPM);Malaysia;65,2;63,5;62;64,4;
151-200;151-200;Universiti Utara Malaysia (UUM);Malaysia;64,8;55,1;72,7;76,5;
151-200;151-200;University of Calgary;Canada;59,5;66,8;67,5;69,9;
151-200;151-200;University of California, Davis;United States;57,5;65,3;76,2;75,5;
151-200;201-250;University of Geneva;Switzerland;63;61;71,3;67,2;
151-200;151-200;University of Groningen;Netherlands;62,7;59,9;79,2;80,2;
151-200;151-200;University of Notre Dame;United States;58,6;61,2;85,1;79,3;
151-200;151-200;University of Rochester;United States;68,3;58,6;75,9;65,9;
151-200;101-150;University of St Andrews;United Kingdom;59,5;69,6;72,6;80,2;
151-200;151-200;University of Texas Dallas;United States;64,7;57,7;77,9;80,2;
151-200;151-200;University of Virginia;United States;60,3;61;80,7;79,3;
151-200;201-250;University of Wollongong;Australia;62,8;61,4;65,5;68,6;
151-200;151-200;Victoria University of Wellington;New Zealand;64,2;59,4;73,4;81,9;
151-200;101-150;Vrije Universiteit Amsterdam;Netherlands;67,4;55,2;77,2;79,3;
151-200;151-200;Washington University in St. Louis;United States;64,1;54,4;85,7;83,4;
151-200;201-250;Xiamen University;China (Mainland);64,7;56,3;77,9;81,9;
201-250;151-200;Aarhus University;Denmark;62,4;57,2;73,4;69,9;
201-250;;Ahlia University;Bahrain;68,3;49,3;52,3;62,8;
201-250;151-200;Auckland University of Technology (AUT);New Zealand;60;51,8;82,9;89;
201-250;201-250;Brigham Young University;United States;59,1;51,3;81,6;86,4;
201-250;201-250;Cairo University;Egypt;60,9;71,1;47;53,5;
201-250;201-250;City University of New York;United States;51,9;63,7;81,3;81,9;
201-250;151-200;Complutense University of Madrid;Spain;56,4;71,6;61,4;65,9;
201-250;201-250;Concordia University;Canada;60,5;56,4;73,7;76,5;
201-250;201-250;Dublin City University;Ireland;54,3;61,3;87;82,7;
201-250;251-300;Financial University under the Government of the Russian Federation;Russia;67,8;63,9;45,4;46;
201-250;201-250;Florida International University;United States;57,6;57;76,4;78,4;
201-250;151-200;Freie Universitaet Berlin;Germany;60,6;63,5;64,6;72,2;
201-250;201-250;Hanyang University;South Korea;60,7;70,2;51,9;62,8;
201-250;201-250;Indian Institute of Management (IIM) - Bangalore;India;65,2;62,8;58,4;51,2;
201-250;201-250;International Islamic University Malaysia (IIUM);Malaysia;59,9;56,3;67,6;71,1;
201-250;201-250;King Fahd University of Petroleum & Minerals;Saudi Arabia;58,3;72,1;49,4;57,6;
201-250;151-200;Kobe University;Japan;65,1;59,2;60;61,2;
201-250;151-200;Loughborough University;United Kingdom;53,8;67,7;72,7;77,5;
201-250;151-200;Lund University;Sweden;59,7;63,3;69,8;71,1;
201-250;151-200;Massey University;New Zealand;60,8;54,3;78,3;84,2;
201-250;251-300;Nanjing University;China (Mainland);59,6;58,6;73,9;74,4;
201-250;;Pontificia Universidad Católica del Perú;Peru;63,1;72,5;36,1;46;
201-250;201-250;Queen Mary University of London;United Kingdom;56,9;64,2;74,3;71,1;
201-250;251-300;Queen's University Belfast;United Kingdom;53,8;62,9;76;74,4;
201-250;151-200;Rutgers University–New Brunswick;United States;55;58,3;84,1;83,4;
201-250;151-200;Sapienza University of Rome;Italy;58,3;69,4;59,7;68,6;
201-250;201-250;Simon Fraser University;Canada;61,9;55,9;70,4;77,5;
201-250;151-200;Sorbonne University;France;56,8;70,8;61;57,6;
201-250;201-250;The American University in Cairo;Egypt;62,3;70,9;45,8;55,7;
201-250;251-300;The University of Arizona;United States;54,7;59,4;85,1;75,5;
201-250;101-150;Universidad Autónoma de Madrid;Spain;59,5;72,5;59,8;51,2;
201-250;201-250;Università Cattolica del Sacro Cuore;Italy;55;67,2;70,6;73,4;
201-250;151-200;Universitat de Barcelona;Spain;59;68,4;61,7;67,2;
201-250;201-250;Universitat de Valencia;Spain;59,1;53,5;77,2;81;
201-250;201-250;Université Laval;Canada;58,5;56,3;73,4;77,5;
201-250;151-200;Universiti Kebangsaan Malaysia (UKM);Malaysia;65,3;64,4;56,2;53,5;
201-250;201-250;Universiti Teknologi Malaysia ;Malaysia;59,7;63,4;53,8;62,8;
201-250;201-250;University of Aberdeen;United Kingdom;59,6;61,8;59,2;62,8;
201-250;201-250;University of California, Irvine;United States;59,2;58;76;71,1;
201-250;151-200;University of Cape Town;South Africa;59,7;67,6;58,1;57,6;
201-250;201-250;University of Cologne;Germany;59;54,8;72,5;74,4;
201-250;201-250;University of Economics, Prague;Czech Republic;61,8;52;70,3;72,2;
201-250;201-250;University of Liverpool;United Kingdom;59,7;63,2;68,3;69,9;
201-250;201-250;University of Massachusetts Amherst;United States;60,7;60,6;72,1;65,9;
201-250;201-250;University of Otago;New Zealand;61,6;59,6;64,1;62,8;
201-250;201-250;University of South Australia;Australia;58,5;57,7;78,6;84,2;
201-250;201-250;University of South Carolina;United States;57,6;50,2;85,7;83,4;
201-250;201-250;University of Strathclyde;United Kingdom;60,8;62,3;63;61,2;
201-250;301-320;Wuhan University;China (Mainland);57,9;68,1;64,4;61,2;
201-250;;Xi’an Jiaotong University;China (Mainland);51,3;69,8;77,7;84,2;
251-300;;Barcelona Graduate School of Economics;Spain;57,6;47,7;79,6;72,2;
251-300;;Beijing Institute of Technology;China (Mainland);50,3;64,1;70,5;74,4;
251-300;251-300;Ca' Foscari University of Venice ;Italy;58,5;59,3;64,1;67,2;
251-300;201-250;Chulalongkorn University;Thailand;61,2;65,3;40,9;53,5;
251-300;251-300;Delft University of Technology;Netherlands;52,8;73,9;52,6;48,8;
251-300;201-250;Florida State University;United States;56,2;58,9;73,1;71,1;
251-300;251-300;Georgia State University;United States;52,4;53,5;81,6;75,5;
251-300;201-250;Ghent University;Belgium;55,7;58,2;70,8;79,3;
251-300;;Gulf University for Science and Technology;Kuwait;69,1;52,8;43,1;35,8;
251-300;251-300;Heriot-Watt University;United Kingdom;52,8;63,7;65,1;68,6;
251-300;251-300;Indian Institue of Management (IIM) - Calcutta;India;62,4;60,8;44,3;39,6;
251-300;251-300;Indian Institute of Technology Kharagpur (IIT-KGP);India;55,8;67,9;56,3;62,8;
251-300;251-300;King Saud University;Saudi Arabia;55,6;66,4;54,1;55,7;
251-300;201-250;La Trobe University;Australia;55,4;56,3;73,5;77,5;
251-300;251-300;McMaster University;Canada;51,5;64,9;63;62,8;
251-300;251-300;National Sun Yat-sen University;Taiwan;59,5;57,5;58,1;61,2;
251-300;201-250;National Tsing Hua University;Taiwan;59,8;66,8;49,2;53,5;
251-300;251-300;North Carolina State University;United States;55,3;58,6;68;71,1;
251-300;251-300;Ruprecht-Karls-Universität Heidelberg;Germany;55,6;62,7;58,1;57,6;
251-300;251-300;Sciences Po ;France;55,5;65,4;59,2;53,5;
251-300;251-300;Temple University;United States;60,7;46,5;77,8;74,4;
251-300;201-250;The University of Newcastle, Australia (UON);Australia;54,8;58,7;65,3;72,2;
251-300;201-250;United Arab Emirates University;United Arab Emirates;55,5;69,5;55,5;57,6;
251-300;251-300;Universidade Federal do Rio de Janeiro;Brazil;58,5;66,9;49,8;55,7;
251-300;201-250;Università di Padova;Italy;56,2;61,8;68;68,6;
251-300;251-300;Universiti Teknologi MARA - UiTM;Malaysia;58,7;59,2;59,5;62,8;
251-300;251-300;University College Cork;Ireland;57,1;65,2;57,2;62,8;
251-300;201-250;University of Canterbury | Te Whare W_nanga o Waitaha;New Zealand;60,2;60,2;53;61,2;
251-300;251-300;University of Central Florida;United States;51,2;54,6;78;81,9;
251-300;251-300;University of Colorado Boulder;United States;55,2;55,1;75,1;71,1;
251-300;201-250;University of Delhi;India;58,6;66,6;47,6;59,5;
251-300;251-300;University of Gothenburg;Sweden;55,8;53;68,3;71,1;
251-300;251-300;University of Houston;United States;54,5;53,1;79,3;74,4;
251-300;251-300;University of Iowa;United States;54,9;51,7;83,4;81;
251-300;251-300;University of Jordan;Jordan;57,9;69,5;38,2;46;
251-300;301-320;University of Kent;United Kingdom;54,6;52,9;71,8;77,5;
251-300;251-300;University of Lisbon ;Portugal;58,3;58,7;62,4;71,1;
251-300;251-300;University of Missouri, Columbia;United States;51,5;52,8;79,7;82,7;
251-300;251-300;University of Naples - Federico II;Italy;51,5;59,6;64,9;73,4;
251-300;251-300;University of Ottawa;Canada;52,2;64,1;71,2;73,4;
251-300;;University of Portsmouth;United Kingdom;56,9;47,9;75,1;80,2;
251-300;251-300;"University of Rome ""Tor Vergata""";Italy;56,9;60,5;53,5;64,4;
251-300;251-300;University of Utah;United States;56,4;49,8;81,2;71,1;
251-300;251-300;University of Waikato;New Zealand;56,4;50,9;77,3;79,3;
251-300;251-300;University of Witwatersrand;South Africa;50,1;61,7;72,4;75,5;
251-300;301-320;University of York;United Kingdom;51,8;61,5;65,5;68,6;
251-300;251-300;Utrecht University;Netherlands;55;61,5;62,8;67,2;
251-300;251-300;Virginia Polytechnic Institute and State University;United States;52;58,6;75,5;75,5;
251-300;251-300;Warsaw School of Economics (SGH);Poland;62;51,4;59;59,5;
251-300;;Zhongnan University of Economics and Law;China (Mainland);51,3;56,7;72,2;78,4;
301-330;301-320;Beijing Normal University ;China (Mainland);55,3;52,6;69;71,1;
301-330;301-320;Brunel University London;United Kingdom;50,4;54,6;75,6;80,2;
301-330;;COMSATS University Islamabad;Pakistan;50,1;59;67,6;72,2;
301-330;;Fordham University ;United States;54;50,9;75,5;75,5;
301-330;;Holy Spirit University of Kaslik ;Lebanon;44,2;57,5;89,8;88,4;
301-330;;Huazhong University of Science and Technology;China (Mainland);46,2;65,3;69;77,5;
301-330;251-300;Koç University;Turkey;58,2;65,4;40,1;39,6;
301-330;;Kyung Hee University;South Korea;55;60,7;48,3;61,2;
301-330;301-320;Mahidol University;Thailand;54,2;61,4;53,4;61,2;
301-330;;Nankai University;China (Mainland);58,2;45,6;68,1;72,2;
301-330;301-320;National Central University;Taiwan;56,7;54,9;55,4;62,8;
301-330;251-300;National Yang Ming Chiao Tung University;Taiwan;56;63,9;46,7;48,8;
301-330;301-320;Sogang University;South Korea;54,9;62,1;54,1;55,7;
301-330;;Stellenbosch University;South Africa;55,9;60,5;45,3;55,7;
301-330;;Sultan Qaboos University;Oman;50,9;58,1;70,1;75,5;
301-330;251-300;The University of Alabama;United States;51,8;59,2;65,9;67,2;
301-330;301-320;Universidad EAFIT;Colombia;59,8;64,7;36,9;31,4;
301-330;;Universitas Sebelas Maret;Indonesia;62,9;52;46,6;51,2;
301-330;;Universität Innsbruck;Austria;55;42,3;81,8;77,5;
